243,-446,-242,8.062257748,-38,98,13.03840481,,,
246,-450,-235,17.02938637,-25,99,31.6227766,,,
249,-433,-234,16.1245155,-7,125,7,,,
252,-419,-242,22.02271555,0,125,5.830951895,,,
255,-405,-225,7.211102551,5,122,5,,,
258,-409,-219,24.08318916,1,125,5.099019514,,,
261,-385,-221,5,2,130,3,,,
264,-382,-225,7.615773106,-1,130,10,,,
267,-375,-222,27.16615541,-1,120,6.32455532,,,
270,-348,-219,24.08318916,-7,118,5.385164807,,,
273,-330,-203,7.280109889,-5,113,11.70469991,,,
276,-323,-205,30,-9,102,10,,,
279,-299,-187,10.44030651,-1,96,10.81665383,,,
282,-302,-177,26.68332813,8,90,3.605551275,,,
285,-276,-171,7.280109889,11,92,8.062257748,,,
288,-274,-178,31.40063694,12,100,5.099019514,,,
291,-249,-159,6.08276253,11,105,10.19803903,,,
294,-248,-153,33.61547263,13,115,10,,,
297,-219,-136,11,13,125,22.36067977,,,
300,-219,-147,34.20526275,-9,129,3.605551275,,,
303,-192,-126,2.236067977,-11,132,38.01315562,,,
306,-191,-124,23.19482701,27,133,8.544003745,,,
309,-168,-127,25.94224354,35,130,10.63014581,,,
312,-145,-115,16.4924225,28,122,20.51828453,,,
315,-129,-119,26.07680962,13,108,15.8113883,,,
318,-107,-105,9.055385138,4,95,14.86606875,,,
321,-98,-104,21.47091055,15,85,9.055385138,,,
324,-79,-94,8.94427191,14,76,12.04159458,,,
327,-75,-102,9.055385138,23,84,27.78488798,,,
330,-66,-103,10.29563014,9,60,8.544003745,,,
333,-61,-112,15.03329638,6,52,8.544003745,,,
336,-46,-113,14.2126704,-2,49,12.64911064,,,
339,-35,-122,19.10497317,-14,45,7.280109889,,,
342,-21,-109,26.2488095,-21,43,11.04536102,,,
345,-13,-84,24.35159132,-22,32,8.94427191,,,
348,-5,-61,21.21320344,-14,28,24.35159132,,,
351,-8,-40,19.02629759,9,20,15.5241747,,,
354,-7,-21,8.246211251,5,5,7,,,
357,-15,-19,5,5,12,13,,,
360,-19,-16,3.605551275,,,,,,
363,-17,-13,5.385164807,,,,,,
,-15,-8,17,,,,,,
